"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 18:53:58 GMT 2023","Thu May 18 18:54:18 GMT 2023","20143","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Thu May 18 18:53:27 GMT 2023","Thu May 18 18:53:51 GMT 2023","24815","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Thu May 18 18:53:58 GMT 2023","Thu May 18 18:54:16 GMT 2023","17762","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Thu May 18 18:53:30 GMT 2023","Thu May 18 18:53:58 GMT 2023","27561","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Thu May 18 18:53:30 GMT 2023","Thu May 18 18:53:56 GMT 2023","25364","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Thu May 18 18:53:27 GMT 2023","Thu May 18 18:53:55 GMT 2023","28536","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Thu May 18 18:53:58 GMT 2023","Thu May 18 18:54:17 GMT 2023","19158","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"passed","Thu May 18 18:53:30 GMT 2023","Thu May 18 18:53:57 GMT 2023","27323","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Thu May 18 18:53:58 GMT 2023","Thu May 18 18:54:12 GMT 2023","14192","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Thu May 18 18:53:30 GMT 2023","Thu May 18 18:53:57 GMT 2023","27041","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Thu May 18 18:53:58 GMT 2023","Thu May 18 18:54:21 GMT 2023","23516","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
